Neighborhood,Total_Population,Group_Quarter_Population,Female_Population,pct_Population_with_Disability,Housholds,Family_Households,Non_Family_Households,Single_Person_Households,Households_with_Children,Households_with_60_years_and_older,Single_Senior_65_Households,Average_Household_Size,Asian,Black_African_American,White,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,pct_Latino_of_Any_Race,pct_0_4_Years,pct_5_17_Years,pct_18_34_Years,pct_35_64_Years,pct_65_Years_and_older,Less_than_high_school_degree,High_school_degree_or_equivalent,Some_college_or_Associates_degree,Bachelors_degree_or_higher,Foreign_Born,Naturalized_citizens,English_Only,Spanish,Spanish_limited,French_Haitian_Cajun,French_Haitian_Cajun_limited,German_Germanic,German_Germanic_limited,Russian_Polish_Slavic,Per_Capita_Income,Percent_in_Poverty,Household_Income_less_than_25K,Household_Income_25K_50K,Household_Income_50K_75K,Household_Income_75K_100K,Household_Income_100K_125K,Household_Income_more_than_125K,Labor_Force_Participation_Rate,Unemployment_Rate,Managerial_Professional,Services,Sales_and_Office,Natural_Resources,Production_Transport_Materials,Workers_16_Years_and_Older,Car,Drove_Alone,Carpooled,Transit,Bike,Walk,Other_Journey_Type,Worked_at_Home
Mission,58424,1588,26283,0.108018624,23217,0.39854417,0.60145583,0.341603136,0.175431796,0.246586553,0.070594823,2.448033768,0.145265644,0.04751472,0.508318499,0.016979324,0.001660277,0.343026838,0.041455566,0.080583322,0.335529919,0.435574421,0.106856771,0.123031537,0.102318527,0.169194332,0.605455603,0.301622621,0.138145283,0.594978751,0.274293775,0.122299204,0.010196064,0.000660691,0.007446163,0.000321417,0.007803293,66629.67787,0.117513071,0.138992979,0.098936124,0.095921092,0.078046259,0.082698023,0.505405522,0.79269447,0.040796616,0.601613483,0.158522173,0.156775089,0.02792765,0.055161605,38235,0.23870799,0.194167647,0.044540343,0.399712305,0.091408395,0.115391657,0.03528181,0.119497842
Mission Bay,13330,321,6755,0.078244561,6065,0.508656224,0.491343776,0.333553174,0.204946414,0.153338829,0.072712284,2.144929926,0.38312078,0.047936984,0.46264066,0.006901725,0.009902476,0.107726932,0.07471868,0.076819205,0.388072018,0.377194299,0.083195799,0.065599074,0.094443373,0.133224002,0.706733552,0.363540885,0.217854464,0.552456624,0.090319442,0.023917626,0.011512891,0,0.004134912,0,0.014269499,93788.0195,0.077561688,0.123495466,0.088375927,0.052431987,0.047320692,0.043858203,0.644517725,0.779848171,0.015355418,0.744188671,0.057774769,0.149740465,0.005303543,0.042992552,8599,0.253285266,0.223746947,0.029538318,0.292708454,0.045005233,0.220025584,0.061635074,0.127340388
Nob Hill,26247,891,12549,0.089381003,15225,0.254515599,0.745484401,0.551592775,0.052873563,0.27908046,0.123152709,1.665418719,0.312950051,0.040423667,0.539033032,0.002285976,0.001104888,0.103287995,0.022288262,0.025907723,0.403398484,0.396731055,0.151674477,0.099232624,0.081078711,0.167857926,0.651830739,0.302625062,0.175982017,0.677499805,0.044774375,0.01141766,0.019600966,0.00062349,0.002844673,0,0.013521939,78752.54696,0.100066842,0.146732348,0.116584565,0.153760263,0.099638752,0.076781609,0.406502463,0.768918273,0.041500717,0.658180026,0.110490583,0.169623303,0.020094174,0.041611914,17989,0.180665963,0.153760631,0.026905331,0.244038023,0.025737951,0.388793151,0.061759964,0.099004947
Noe Valley,22628,104,10428,0.070433745,10721,0.45844604,0.54155396,0.367689581,0.177222274,0.301277866,0.092715232,2.100923421,0.152510164,0.018119144,0.694493548,0.002430617,0.000883861,0.105400389,0.044767545,0.094307937,0.22671027,0.488333039,0.145881209,0.018064585,0.070339977,0.135564318,0.77603112,0.242708149,0.143804136,0.767198705,0.075503123,0.018274347,0.022114272,0.001619246,0.01198242,0.000508906,0.010455702,109888.9694,0.043241809,0.079190374,0.062307621,0.06650499,0.077884526,0.059882474,0.654230016,0.770274375,0.024349499,0.773328809,0.065897523,0.128537496,0.014862572,0.0173736,14205,0.352551918,0.312636396,0.039915523,0.35156635,0.049630412,0.0406195,0.049771207,0.155860612
North Beach,11934,17,5761,0.145215351,6308,0.37983513,0.62016487,0.476696259,0.146163602,0.389346861,0.146797717,1.889188332,0.374057315,0.035612536,0.479470421,0.000670354,0.002094855,0.10750796,0.034774594,0.085805262,0.294788001,0.409334674,0.175297469,0.151167513,0.098680203,0.154517766,0.595634518,0.357549858,0.223646724,0.5981422,0.050785658,0.016928553,0.011893394,0.002343953,0.006076916,0,0.009636253,68656.9633,0.128791688,0.214489537,0.168991756,0.105580216,0.07736208,0.101775523,0.331800888,0.697537223,0.047944564,0.622315122,0.141848061,0.181778867,0.012973908,0.041084042,6758,0.196803788,0.179786919,0.017016869,0.257176679,0.039952649,0.363865049,0.026931045,0.11527079
Oceanview/Merced/Ingleside,27335,307,13619,0.09803203,8126,0.627368939,0.372631061,0.245385183,0.269136106,0.522028058,0.097587989,3.326113709,0.560160966,0.096945308,0.169672581,0.003987562,0.000256082,0.163892446,0.040351198,0.117944028,0.248582404,0.425132614,0.167989757,0.190215302,0.194925029,0.247885429,0.366974241,0.481653558,0.335577099,0.363334858,0.134034767,0.061261055,0.002287283,0,0.000991156,0.00026685,0.00663312,36810.59082,0.089728019,0.115308885,0.128968742,0.131799163,0.134014275,0.112601526,0.377307408,0.677210366,0.028285908,0.39012926,0.260282021,0.217456587,0.039039039,0.093093093,15056,0.569407545,0.471373539,0.098034006,0.292375133,0.005977683,0.015010627,0.025571201,0.091657811
Outer Mission,24646,195,12236,0.094205547,6635,0.731273549,0.268726451,0.148455162,0.281688018,0.502336096,0.040693293,3.685154484,0.570680841,0.01618924,0.202142335,0.00178528,0.005842733,0.274608456,0.029051367,0.117869025,0.236387243,0.435729936,0.180962428,0.219739005,0.198212084,0.228935471,0.35311344,0.535178122,0.371216425,0.280484747,0.227329712,0.091600501,0.002841621,0,0.001587965,0,0.001504388,39639.21123,0.0904288,0.074001507,0.125998493,0.113639789,0.124943482,0.127807084,0.433609646,0.704064965,0.033509124,0.391982183,0.258351893,0.200445434,0.041341871,0.107878619,13988,0.506934515,0.413783243,0.093151273,0.368315699,0.013869031,0.008721762,0.031884472,0.070274521
Outer Richmond,45745,191,24160,0.110131677,18980,0.537881981,0.462118019,0.329873551,0.225026344,0.435036881,0.149367756,2.400105374,0.422537982,0.016176631,0.455568915,0.00139906,0.000393486,0.06851022,0.052967537,0.093146792,0.250213138,0.409006449,0.194666084,0.094795121,0.094261143,0.217919173,0.593024563,0.340080883,0.252158706,0.570795439,0.032477725,0.004916671,0.013064955,0.003023868,0.003070034,0.001038733,0.051498084,60482.93584,0.100523308,0.133877766,0.104847208,0.129978925,0.097576396,0.098472076,0.435247629,0.671340508,0.029028346,0.568000315,0.145914473,0.196624572,0.029308785,0.060151855,25156,0.465853077,0.381976467,0.08387661,0.314994435,0.022579106,0.037605343,0.030330736,0.128637303
Pacific Heights,23953,511,12078,0.082917548,12860,0.317418351,0.682581649,0.529548989,0.119362364,0.297045101,0.139735614,1.822861586,0.168037407,0.038784286,0.703502693,0.002880641,0,0.090385338,0.044002839,0.07310149,0.342545819,0.369724043,0.170625809,0.029503955,0.038509379,0.121399075,0.810587591,0.195591366,0.127207448,0.801781737,0.04467444,0.007118215,0.008166295,0.001091751,0.009607406,0,0.009607406,121758.5689,0.052512969,0.106765163,0.070684292,0.057698289,0.072628305,0.097822706,0.594401244,0.749200075,0.030444193,0.739830453,0.042189656,0.180390353,0.019320497,0.018269041,15025,0.333510815,0.273477537,0.060033278,0.295906822,0.020765391,0.120066556,0.093710483,0.136039933
Portola,16243,195,8101,0.091328981,4901,0.721485411,0.278514589,0.200979392,0.267700469,0.50805958,0.080391757,3.274433789,0.544357569,0.035276735,0.182847996,0.005171458,0.001662255,0.262205258,0.039463153,0.143815798,0.205380779,0.435880071,0.175460198,0.230297653,0.206662902,0.279099782,0.283939663,0.498676353,0.37320692,0.360594796,0.154916036,0.050121779,0.00249968,0,0.003717472,0.001153698,0.004230227,41454.3311,0.091297351,0.135890635,0.119975515,0.109365436,0.114058355,0.116302795,0.404407264,0.670591699,0.03046806,0.337433893,0.208208784,0.229822948,0.091285353,0.133249023,8396,0.634111482,0.51786565,0.116245831,0.289899952,0.004883278,0.019652215,0.013101477,0.038351596
